series_key,dataset,index,series,type,period,n,h,backend,status,elapsed_seconds,forecast,actual,model_selected,alpha_real,alpha_imag,beta_real,beta_imag,sse,error,finite,smape,mase,mae,rmse
M1:414,M1,414,MRB13,monthly,12,62,18,aeon,ok,0.003326700010802597,"[55.43074317514105, 49.536596607533625, 51.05262140312601, 48.88905902497294, 53.44791162217377, 34.96443898505109, 43.465115348719664, 52.70950838878241, 53.49899109825897, 53.13133199792149, 52.653944719364155, 55.92628013232778, 60.67246836520399, 54.805216168620696, 56.371421090775776, 54.252309046662994, 58.85764098984731, 40.420607409681196]","[47.0, 63.0, 70.0, 41.0, 52.0, 15.0, 50.0, 52.0, 46.0, 51.0, 53.0, 51.0, 51.0, 48.0, 41.0, 40.0, 43.0, 21.0]",P,1.2586538213070217,1.0109003155121636,0.02213034809610256,,891.5325568022511,,True,22.39079848988206,1.461865735830623,9.648313856482112,11.572311724275474
M1:415,M1,415,MRB14,monthly,12,63,18,aeon,ok,0.0034276999649591744,"[1748.670762605509, 1612.591964629059, 1729.8843234208653, 1666.1186036508307, 891.4351000877734, 1752.5814928188013, 1929.9706643152779, 1843.2856686376188, 1899.4960983495012, 1939.479686216383, 1897.3834530398974, 1904.1497120514448, 1990.9060240938848, 1865.4569753554936, 1984.01652088898, 1923.5879497972498, 1151.8354025338358, 2016.0434653337206]","[1523.0, 1597.0, 1392.0, 1654.0, 190.0, 1525.0, 1573.0, 859.0, 985.0, 1227.0, 1122.0, 988.0, 1200.0, 1068.0, 1294.0, 1217.0, 153.0, 1451.0]",P,1.204939667926954,1.0142243701412574,0.058153478391775086,,1761201.8290450294,,True,48.54656787016543,2.388882721061482,596.0496593236736,672.6324625416886
M1:416,M1,416,MRB15,monthly,12,63,18,aeon,ok,0.003218500001821667,"[2398.2282149757866, 2243.7908839046763, 2363.7533332623143, 2235.872019396381, 1238.7454210042397, 2341.0355148458884, 2623.427353251753, 2538.4831689241796, 2549.3010758823234, 2556.5352127511064, 2619.4381913884754, 2596.3558972366536, 2686.1324027303885, 2521.471890103978, 2649.37073180414, 2522.1894068288516, 1528.6993073211092, 2633.487944974001]","[2366.0, 2821.0, 2522.0, 2453.0, 765.0, 2233.0, 2358.0, 1443.0, 1450.0, 1525.0, 1530.0, 1306.0, 1620.0, 1512.0, 1796.0, 1635.0, 565.0, 2132.0]",P,1.390782860382754,1.0136897911866831,0.04562103486919411,,3888253.364775712,,True,37.52751809428959,1.708473605897503,706.6380831921947,812.7006987708304
M1:417,M1,417,MRB16,monthly,12,54,18,aeon,ok,0.003474900033324957,"[2264.3664853641408, 1578.0365270873588, 2752.234660649967, 2854.2022153281623, 2935.578675592982, 2938.067604934778, 2766.6870251316423, 2878.564009987269, 3147.5398413984212, 2911.865974591844, 2808.0119368430346, 3027.695853150219, 2405.3387980024804, 1720.5279836694046, 2895.1937269532004, 2997.7924973549098, 3079.7781797382386, 3082.8827006674946]","[2602.0, 1453.0, 2750.0, 3031.0, 2908.0, 2222.0, 3157.0, 2544.0, 3116.0, 3091.0, 3088.0, 2843.0, 2253.0, 1609.0, 2705.0, 2917.0, 1872.0, 1834.0]",P,1.148484165031013,1.0049171254146156,0.057296152792892685,,3867696.3906523534,,True,12.641243912941526,1.0005116888961947,320.9498567737722,481.9552834681605
M1:418,M1,418,MRB17,monthly,12,63,18,aeon,ok,0.003416899999137968,"[372.0420325643493, 332.377672568217, 356.5163130000888, 317.3180862424251, 277.4093240672906, 300.5934848429114, 403.25604082399025, 332.1041579076408, 401.00725335582183, 280.90998142535204, 340.2922343568089, 365.5786921361242, 361.0834038678454, 321.8247118222558, 345.9382620008751, 306.77503005970476, 266.89278784261313, 290.1045702655938]","[343.0, 283.0, 344.0, 327.0, 212.0, 282.0, 334.0, 304.0, 323.0, 224.0, 283.0, 185.0, 306.0, 216.0, 270.0, 256.0, 248.0, 260.0]",P,1.1422911291533755,0.9970221915172623,0.015306903981330321,,108456.64390647976,,True,18.689506305579325,1.201939361953073,55.077103703614334,67.82259154440945
M1:419,M1,419,MRB18,monthly,12,62,18,aeon,ok,0.0038019000203348696,"[701.9900076076626, 717.884592535734, 694.6251216439587, 692.1899524292343, 678.5575735977752, 504.5315551925469, 623.3658493306457, 759.3076181033641, 676.3553506310973, 720.6814219245734, 607.2916944082584, 651.0872152335781, 695.0629522989133, 710.8742154792227, 687.6283569979045, 685.1986826098317, 671.572472108278, 497.5525598736465]","[692.0, 672.0, 660.0, 708.0, 650.0, 466.0, 567.0, 671.0, 534.0, 662.0, 492.0, 557.0, 522.0, 545.0, 591.0, 492.0, 552.0, 442.0]",P,1.0845581508419173,0.999051995797817,0.021224960404118007,,95676.37087350055,,True,14.010558952326386,1.9807368894418038,85.13207150820872,101.18580846720262
M1:420,M1,420,MRB19,monthly,12,63,18,aeon,ok,0.0035513000329956412,"[238.9291046381424, 234.3776761458912, 226.63428076326682, 230.10365081708537, 203.54400184719364, 229.6214634324895, 285.058977941611, 269.70834654776814, 246.38488133017708, 251.25267715604215, 255.3230744671904, 286.47900237749604, 264.9612256025255, 261.3496454414902, 253.7196883475733, 257.4531489317123, 231.13311929843073, 257.4571438117854]","[214.0, 208.0, 282.0, 200.0, 171.0, 261.0, 252.0, 207.0, 224.0, 297.0, 246.0, 185.0, 199.0, 140.0, 229.0, 268.0, 152.0, 150.0]",P,1.170347107817399,1.0105077390386816,0.02943331397784897,,44067.59701327796,,True,22.093250551682786,1.499865894835871,49.14266490726942,59.13478356761558
M1:421,M1,421,MRB20,monthly,12,62,18,aeon,ok,0.0033904999727383256,"[1140.1483819522482, 1101.4524595102516, 1059.337715654403, 948.7245994499386, 961.5415709462316, 943.4103703614409, 1092.6514052389134, 1179.5457085779617, 1140.5637442306295, 1003.6287114550875, 1066.0023004171721, 934.5934908378777, 1200.9703073724454, 1162.3617163769502, 1120.574036633185, 1010.2500051175269, 1023.3639898576012, 1005.5301513783951]","[884.0, 1002.0, 1023.0, 926.0, 943.0, 735.0, 954.0, 994.0, 618.0, 940.0, 932.0, 805.0, 820.0, 852.0, 678.0, 866.0, 861.0, 667.0]",P,1.1604669163999746,1.005607811946956,0.01,,500647.36537693464,,True,21.288625024639508,2.007063464750564,199.70281474268108,245.6001296606124
M1:422,M1,422,MRB21,monthly,12,60,18,aeon,ok,0.003521300037391484,"[992.8433055645922, 1017.6610191714744, 1107.3149505422432, 1063.4072115357326, 1034.8947758205127, 1199.2806725969072, 1039.9793015625244, 761.7092098996052, 1108.8796128008369, 1138.3113481709179, 1127.0166950520543, 1094.274802322999, 1067.52933435673, 1092.6267692528731, 1182.744612546465, 1139.2701067386183, 1111.1995234608785, 1276.0287252970793]","[1108.0, 1119.0, 1064.0, 1147.0, 1189.0, 943.0, 1139.0, 451.0, 933.0, 965.0, 777.0, 795.0, 810.0, 837.0, 846.0, 888.0, 783.0, 944.0]",P,1.176999462852859,1.0068744107709857,0.04385686058901146,,240009.84054781252,,True,22.708433684723154,2.4916413427853437,217.9667082990762,238.9064983085716
M1:423,M1,423,MRB22,monthly,12,63,18,aeon,ok,0.00469219998922199,"[695.1394203531971, 702.5613484507209, 726.2033925220163, 603.7442227638685, 371.45300157352284, 737.491889760861, 698.8620524459292, 702.2781431489311, 708.3214164746349, 712.3147549145646, 648.4518489852513, 704.2474484327743, 704.5663849900249, 712.0586465681487, 735.6998112495668, 613.2543463736878, 380.97386249397, 747.0241110896865]","[620.0, 659.0, 616.0, 602.0, 277.0, 457.0, 532.0, 480.0, 474.0, 464.0, 496.0, 495.0, 517.0, 387.0, 481.0, 429.0, 185.0, 467.0]",P,1.2033916528033897,1.001424196812713,0.01,,247385.69785647886,,True,33.40060444565922,2.489375279901966,181.48033903285312,200.64021607669176
M1:424,M1,424,MRB23,monthly,12,63,18,aeon,ok,0.003193399985320866,"[611.251124760565, 624.0461374097611, 575.8907945119855, 554.6794614449096, 482.7561082714363, 533.2098610271696, 555.5437368271017, 592.1763733846648, 565.1695764038528, 638.0973506046901, 610.1191099972492, 713.7356127734727, 682.4610456180222, 693.0318366128878, 647.9260270609334, 625.5055503769239, 555.8343890262539, 605.7496980187104]","[592.0, 760.0, 690.0, 795.0, 124.0, 588.0, 331.0, 409.0, 380.0, 441.0, 477.0, 281.0, 422.0, 368.0, 268.0, 307.0, 143.0, 272.0]",P,1.8,1.0178367846370633,0.02595593735735337,,211519.52310681224,,True,51.82604985120015,2.405504066549447,239.41840474127437,267.1373523892145
M1:425,M1,425,MRB24,monthly,12,63,18,aeon,ok,0.0034082999918609858,"[265.8805898787276, 269.3304699873378, 251.72450160704562, 229.60529025114278, 223.81787507589354, 269.3938550150765, 264.8890214212371, 283.5952239380493, 313.8462482745972, 320.8024362603056, 288.9260420392311, 318.38923783544595, 281.30468638305405, 284.7835969609388, 267.25450307477234, 245.206507950471, 239.4913967919822, 285.13991988224655]","[214.0, 322.0, 261.0, 228.0, 171.0, 247.0, 305.0, 338.0, 324.0, 296.0, 284.0, 222.0, 251.0, 215.0, 142.0, 139.0, 100.0, 190.0]",P,1.121427632228559,1.0052125967475427,0.02334025283503969,,108795.57591072012,,True,24.30103977916595,1.379797668220526,54.86724845394562,68.60262861927447
M1:426,M1,426,MRB25,monthly,12,105,18,aeon,ok,0.005137800006195903,"[25790.226247239283, 23710.817245364226, 24057.129197187493, 22166.847676754325, 21348.80839554543, 25391.79807874891, 27814.85630032943, 26574.37792407409, 27772.199505125896, 31327.026608642045, 29983.581028541284, 26749.132640838114, 26712.925718010367, 24637.461401875713, 24987.17208556557, 23100.78955485612, 22285.73179737976, 26330.254185368478]","[22063.0, 24783.0, 25923.0, 20796.0, 21257.0, 23026.0, 26802.0, 25358.0, 27267.0, 32287.0, 31038.0, 27664.0, 26828.0, 22133.0, 26347.0, 22300.0, 21400.0, 26100.0]",F,1.2665211393303182,1.003770065923739,0.9660923635325094,0.9997642048899359,199606760.6172806,,True,4.9452960740327745,0.646106281340938,1225.198141286019,1513.8697804026306
M1:427,M1,427,MRB26,monthly,12,105,18,aeon,ok,0.005048800026997924,"[25790.479129390955, 23718.466026886483, 24063.678184584092, 22168.012592186886, 21301.38256295338, 25397.00465163745, 27809.925994803452, 26584.87645575351, 27776.337084432107, 31309.56188669612, 29984.82007793291, 26749.40184660971, 26706.53396357174, 24638.73482178249, 24987.351525184982, 23095.705637776293, 22231.960832303674, 26329.02344306621]","[22063.0, 24783.0, 25923.0, 20796.0, 21408.8, 23026.0, 26802.0, 25358.0, 27267.0, 32287.0, 31038.0, 27664.0, 26828.0, 22133.0, 26347.0, 22300.0, 20809.7, 26100.0]",F,1.266107960383048,1.003742130692296,0.9671691287521191,0.9997331762758629,195458538.35084498,,True,5.09429616667985,0.6725744003231642,1256.942476039645,1537.1725292632893
M1:428,M1,428,MRB27,monthly,12,105,18,aeon,ok,0.004726900020614266,"[17908.74868087707, 16403.31535081476, 16670.688642869965, 15310.563276248338, 15073.757501243635, 17362.475495435352, 18494.867207833544, 18377.788104636504, 18872.435949962764, 20801.824354081604, 20552.58212958643, 18952.197199927607, 18875.5814614812, 17380.872961198027, 17650.975960900592, 16295.721453164218, 16063.245103196827, 18356.46118412237]","[16916.0, 16351.0, 17362.0, 14497.0, 14803.0, 16345.0, 18052.0, 18355.0, 18125.0, 21438.0, 20486.0, 19067.0, 18761.0, 15703.0, 18361.0, 15870.0, 15110.0, 18350.0]",P,1.2601488648331831,1.005709115423748,0.010240905892382135,,40075530.53086974,,True,3.1896605686879336,0.5110531344307008,542.0405390011817,700.6651748865063
M1:429,M1,429,MRB28,monthly,12,66,18,aeon,ok,0.004329100018367171,"[17482.695550034096, 17113.067721385192, 15717.565669690546, 15323.755754414411, 14004.114588397057, 14395.881658580027, 13150.016061114291, 13093.079231173035, 15061.318967964873, 16145.060586730331, 16001.614390543975, 16630.63959134611, 18486.473481150326, 18110.236995817322, 16722.53159506606, 16333.618531648075, 15019.499731355667, 15416.696746099125]","[18300.0, 17275.0, 15844.0, 15455.0, 14161.0, 14964.0, 12957.0, 13015.8, 16267.0, 15707.0, 16894.0, 17225.0, 19089.0, 18982.0, 17269.0, 16698.0, 15653.0, 15490.0]",P,1.1983364262353737,1.0064615024831516,0.02361371298846275,,16400889.365231594,,True,2.863179870296437,0.499090515515832,469.7024947513776,571.2707448783787
M1:430,M1,430,MRB29,monthly,12,78,18,aeon,ok,0.003495300014037639,"[156.056579126123, 150.3100266751864, 144.50158918625704, 142.72023649452447, 145.8193369515839, 145.17130274898793, 144.35360057213887, 144.3439294252743, 149.17765284814135, 152.74071486493003, 143.57671983675127, 149.0359781230648, 151.58233940533975, 145.76859601920708, 140.00901628847419, 138.22157025385172, 141.34053333313332, 140.7000374077532]","[141.458, 138.162, 134.264, 142.143, 144.311, 142.776, 142.526, 140.48, 143.768, 145.783, 148.75, 141.233, 148.518, 156.396, 145.711, 146.542, 145.382, 144.782]",P,1.4757038881085853,0.9962239910839849,0.010124889046063113,,3331.5981156010994,,True,4.1409842099821175,0.57610394488687,6.018767404576725,7.127842499281499
M1:431,M1,431,MRB30,monthly,12,39,18,aeon,ok,0.0029253000393509865,"[10410.229455985413, 10787.948385946498, 11739.044948053026, 11255.134874388377, 11723.456395876226, 13608.71962748583, 13738.141787721703, 14168.535080037102, 16374.283151141637, 15746.851253237983, 17425.858848540865, 18682.955903123508, 19514.794298843306, 20294.56351842012, 21794.96493201808, 21834.182100525246, 22878.4139460856, 25359.589425735936]","[7898.0, 7819.0, 8591.0, 6602.0, 5937.0, 9308.0, 6087.0, 5752.0, 7438.0, 5142.0, 6382.0, 8571.0, 5454.0, 5078.0, 6127.0, 3759.0, 3343.0, 7109.0]",P,1.3894543463397966,1.0775308975676292,0.060690542374548545,,20982439.508993484,,True,83.23533419917895,4.548838566348502,10052.25932962036,11452.188260341016
M1:432,M1,432,MRB31,monthly,12,39,18,aeon,ok,0.002931100025307387,"[8295.77265825925, 8912.325276547506, 9778.221248285234, 10290.509257771304, 11255.998878407505, 13392.51580590787, 13504.670319163111, 14617.63575083021, 15766.70364943505, 16126.611762650711, 17958.126919017268, 20036.407905002034, 20584.069168329996, 21992.703658367056, 23916.696785967477, 25461.303430267155, 27591.309693813517, 30952.526678464208]","[7169.0, 7632.0, 8164.0, 6796.0, 5910.0, 10239.0, 9589.0, 7878.0, 9094.0, 5940.0, 6146.0, 7710.0, 5396.0, 5601.0, 5408.0, 4517.0, 3527.0, 6495.0]",P,1.4372068880165645,1.1142876724136141,0.038855388923619685,,16689667.729280228,,True,77.31090572087133,5.654920528164989,10401.283824804803,12941.378728523365
M1:433,M1,433,MRB32,monthly,12,39,18,aeon,ok,0.002743799996096641,"[8.003198220020483, 8.415130962718514, 8.718712097428487, 8.305078454634891, 8.732864724389032, 8.941650630015642, 8.958340246727564, 8.768817532747748, 8.907390562104366, 8.457194471083008, 8.540221563220044, 9.02414744564785, 8.641184732817043, 9.061696509566302, 9.365521184152218, 8.958895041599865, 9.388280356183527, 9.603070130099264]","[8.1588, 8.5289, 8.6167, 8.4574, 8.4253, 8.8548, 8.6571, 8.5934, 8.7063, 8.3359, 8.3485, 8.5817, 8.0427, 8.4051, 8.4935, 8.1218, 7.7297, 8.3111]",P,1.8,1.011139368896333,0.02321147392172158,,2.71098086894553,,True,5.297293953262692,0.5546736536180312,0.45922664391155954,0.6347621602507497
M1:434,M1,434,MNF1,monthly,12,104,18,aeon,ok,0.003912499989382923,"[27633.973267156245, 36895.115768268595, 35258.8531334988, 37835.92237984143, 40207.04477542382, 36002.70450740818, 43571.23744414115, 39257.599341092704, 36854.21988746643, 37392.864603953734, 35180.38844299816, 15996.468409650577, 29159.041468793148, 38418.69736942353, 36791.38273054977, 39372.239779771706, 41749.746068739514, 37550.52824947398]","[27518.0, 36765.0, 32517.0, 37962.0, 36341.0, 35300.0, 37157.0, 32392.0, 35056.0, 34249.0, 33890.0, 14524.0, 30123.0, 32524.0, 33972.0, 36899.0, 27951.0, 35932.0]",P,1.493759992627137,1.0053859703088683,0.01,,1816326630.6857388,,True,8.989545000228041,0.42613064495763864,3124.227773910129,4539.954142326738
M3:1,M3,1,N0001,yearly,1,14,6,aeon,ok,0.0008210999658331275,"[5538.528012342487, 6179.748201212127, 6915.644155884104, 7720.387013902181, 8635.988122880173, 9644.36256150042]","[5379.75, 6158.68, 6876.58, 7851.91, 8407.84, 9156.01]",N,1.8,1.2254880905151342,,,266869.74533033906,,True,2.2296624979472965,0.5784533358907923,177.82233998618844,236.2972777211432
M3:2,M3,2,N0002,yearly,1,14,6,aeon,ok,0.0007608999731019139,"[4195.792459067497, 4195.776248551207, 4200.555707878815, 4201.498612915885, 4205.516190931696, 4207.07510172052]","[4793.2, 5602.0, 5065.0, 5056.0, 5067.2, 5209.6]",N,1.8,1.0011360168457035,,,8217559.519436513,,True,19.83248170295421,1.7529150520323487,931.1309464890634,962.5792367637459
M3:3,M3,3,N0003,yearly,1,14,6,aeon,ok,0.0007782999891787767,"[3373.83965857159, 3366.8930228054846, 3295.8492906702377, 3276.2409549006993, 3217.0973081002085, 3190.027105830052]","[3070.2, 3601.6, 3407.4, 3500.6, 3437.8, 3007.0]",N,1.8,0.9772955894470211,,,8157557.610605472,,True,6.441575300523531,0.3748056003299416,212.997697987502,220.70853666900496
M3:4,M3,4,N0004,yearly,1,14,6,aeon,ok,0.0007625999860465527,"[4482.469937057146, 4514.805625148348, 4533.663624260189, 4563.626423402488, 4584.893549589959, 4613.416186056409]","[4656.0, 5228.52, 5656.72, 5077.02, 5403.4, 5009.52]",N,1.8,1.0099781036376936,,,7716847.121624513,,True,12.627003928932794,1.0022049539113003,623.0507757475771,694.163827922939
M3:5,M3,5,N0005,yearly,1,14,6,aeon,ok,0.000768299971241504,"[5238.254937739175, 5194.137722908442, 5146.688551786768, 5102.601816742658, 5056.574635124479, 5012.796200354753]","[5250.9, 4899.2, 4317.9, 4007.9, 4323.4, 4819.4]",N,1.8,0.9842041015625,,,8260536.793046157,,True,11.199520466213173,0.8325174711547657,526.2739981963208,651.582410373399
M3:6,M3,6,N0006,yearly,1,14,6,aeon,ok,0.0007622000412084162,"[4243.772468722889, 4460.751715915632, 4641.333522896199, 4869.141345113408, 5074.238859771795, 5316.516385266793]","[4338.03, 4185.92, 3950.49, 3715.59, 3958.3, 4140.39]",N,1.8,1.083455276489256,,,962894.6523357265,,True,16.848703211705068,3.064364563027868,750.9248933734895,868.0394812531739
M3:7,M3,7,N0007,yearly,1,14,6,aeon,ok,0.00079699995694682,"[5183.192170288406, 5342.399112363797, 5494.850209800197, 5658.464325109715, 5822.956504876251, 5994.568839556617]","[5163.21, 5089.94, 4786.4, 4926.47, 5068.83, 5318.19]",N,1.556440353393555,1.0465042114257797,,,4085604.8211466824,,True,9.773982172994879,1.130063972647077,523.8985269991639,595.5456045034878
M3:8,M3,8,N0008,yearly,1,14,6,aeon,ok,0.0007545000407844782,"[10853.127487290667, 11713.97863402323, 14214.463791759976, 15656.200832540862, 18679.698069975286, 20861.438200449153]","[8809.8, 8953.5, 7991.01, 7294.08, 7163.37, 7478.31]",N,1.8,1.2938476562499983,,,18359262.080425955,,True,59.99910082310893,12.08899104253796,7381.472836006528,8487.105946378893
M3:9,M3,9,N0009,yearly,1,14,6,aeon,ok,0.0007478000479750335,"[4880.255477585488, 5122.9792342300225, 5077.004963025163, 5269.360205629983, 5269.655679819654, 5429.440457515136]","[6277.6, 7446.28, 6741.69, 6600.69, 7850.17, 8485.26]",N,1.8,1.0303682327270482,,,15052042.369953766,,True,32.64612241794483,2.304687532108251,2058.8323303657585,2156.0380596958653
M3:10,M3,10,N0010,yearly,1,14,6,aeon,ok,0.0007612999761477113,"[10467.152515863836, 11150.596339259479, 12164.610696709615, 13016.077738836257, 14148.783506072588, 15183.461544803775]","[10042.9, 10173.0, 8751.0, 3472.0, 3187.0, 3058.0]",N,1.8,1.1491111755371077,,,2764153.574203681,,True,70.18759548503893,10.977558405585837,6241.130390257592,7864.110015145924
M3:11,M3,11,N0011,yearly,1,14,6,aeon,ok,0.0007635000511072576,"[5111.2136555048, 5942.433625983658, 6242.894284691584, 7124.968197192145, 7598.504314674714, 8565.482069569258]","[5388.4, 5766.2, 5937.9, 5627.4, 5982.7, 5931.6]",N,1.8,1.1888859868049604,,,1024260.606661201,,True,16.152729995811026,3.759342153905611,1084.2781394344267,1413.7291654319602
M3:12,M3,12,N0012,yearly,1,14,6,aeon,ok,0.0007819000165909529,"[5441.203027546218, 6457.406030037044, 7189.713832269679, 8416.157326703082, 9471.541647168382, 10993.85110334107]","[5949.5, 6616.5, 7247.0, 8205.0, 10158.5, 12495.5]",N,1.7544499352574352,1.2754872560501083,,,577404.5144169255,,True,5.746301993685141,1.5298861117801357,520.7402810567813,713.9569329308297
M3:13,M3,13,N0013,yearly,1,14,6,aeon,ok,0.0007630999898537993,"[6453.072009534337, 7060.637398787009, 7648.500297626343, 8353.235746956974, 9062.304840969124, 9885.188542999364]","[6271.0, 6901.8, 6479.2, 6452.3, 6271.6, 6405.2]",N,1.8,1.1664192199707015,,,700405.5584251006,,True,21.08210958782378,4.636434810837079,1613.639806145525,2038.6904785839265
M3:14,M3,14,N0014,yearly,1,14,6,aeon,ok,0.000762099982239306,"[3434.2378048472087, 3209.3144459034743, 3256.444717949138, 3094.6302932249355, 3098.14900992736, 2975.6588806946143]","[4010.8, 4120.8, 4084.2, 4330.2, 4552.4, 4724.0]",N,1.8,0.9613281250000005,,,6546939.268346746,,True,29.937207117271743,2.450719712285328,1125.660807908878,1193.4951332850528
M3:15,M3,15,N0015,yearly,1,14,6,aeon,ok,0.0007605000282637775,"[5618.181043778094, 6138.504752805316, 6551.179793756564, 7126.744883219651, 7632.886035040374, 8279.488035449172]","[5995.0, 6510.5, 6670.0, 6941.5, 7010.0, 7539.5]",N,1.8,1.1475449085235578,,,455827.497444683,,True,5.777607316515618,1.4044462149601629,402.62556056153716,459.0526845455104
M3:16,M3,16,N0016,yearly,1,14,6,aeon,ok,0.001179100014269352,"[6241.597368095103, 6350.212817281934, 6683.91167771136, 6844.862881744029, 7166.498571751705, 7370.432400320747]","[6658.3, 7101.4, 7375.8, 5748.3, 5915.4, 5759.3]",N,1.8,1.0673851892351802,,,1434333.665999013,,True,14.759258338723251,2.9527066827909,969.7619984546806,1047.2247545025039
M3:17,M3,17,N0017,yearly,1,14,6,aeon,ok,0.0007649000035598874,"[6372.036823222263, 6635.274982637439, 7014.250511671629, 7324.991980968522, 7725.385013341936, 8082.807825379592]","[6259.05, 6189.35, 5963.7, 5454.85, 5420.0, 5561.65]",N,1.8,1.0925239562988267,,,1910005.1632557472,,True,21.038384530723224,4.453922316729402,1384.3578562035636,1657.495065811198
M3:18,M3,18,N0018,yearly,1,14,6,aeon,ok,0.0007576000061817467,"[8314.67974066029, 9161.04795677982, 9328.46460595783, 9965.032317542005, 10337.814361154891, 10917.57731438974]","[7062.4, 6891.6, 6413.6, 5775.2, 4983.4, 4782.4]",N,1.590911459699273,1.080285152047872,,,8118695.717056642,,True,47.14723193152083,5.828990846095915,3686.002716080762,4063.657689970323
M3:19,M3,19,N0019,yearly,1,14,6,aeon,ok,0.0007566999993287027,"[6070.08147286342, 6372.972485371841, 6836.282564841345, 7206.467269291069, 7705.010232411746, 8143.899091859657]","[5751.05, 5261.98, 6275.53, 6026.32, 5260.44, 6278.0]",N,1.8,1.1162460327148427,,,1023152.1036738977,,True,19.07836018878439,4.040401078304878,1246.89885277318,1443.4206733553535
M3:20,M3,20,N0020,yearly,1,14,6,aeon,ok,0.0007628999883309007,"[12589.856860561238, 13430.030667624602, 16209.201902272283, 17969.944321621893, 21113.91801469822, 23837.296403118966]","[10045.3, 10056.3, 8687.2, 8423.0, 7742.5, 7399.7]",N,1.6393732649087895,1.2634149014949796,,,9998784.940089103,,True,63.650593455683975,13.905543896719358,8799.374694982867,10120.695644469159
M3:21,M3,21,N0021,yearly,1,14,6,aeon,ok,0.0008491000044159591,"[9549.401995906659, 10087.29722442854, 10651.795415032559, 11251.046776725963, 11881.302520978421, 12549.182109939271]","[9806.85, 10774.75, 10476.5, 11016.0, 10540.5, 10580.5]",N,1.8,1.104175567626952,,,7705680.7214802485,,True,7.000645633951298,1.1840737097525809,777.4546003901693,1024.5573770731664
M3:22,M3,22,N0022,yearly,1,14,6,aeon,ok,0.0007901000208221376,"[4991.057743883717, 5903.497121933037, 6022.610325533166, 6931.606089450646, 7228.959008304813, 8170.262006016685]","[5052.8, 4512.15, 4350.8, 4609.33, 4772.4, 5199.0]",N,1.8,1.1701171874999983,,,2823984.4034436746,,True,30.968310684721327,5.253399094040989,1812.4994678924386,2040.859908215856
M3:23,M3,23,N0023,yearly,1,14,6,aeon,ok,0.0007777000428177416,"[2958.3904562569937, 2885.4844878039207, 2555.185339872322, 2440.377903874705, 2196.5662832362414, 2071.0394935668237]","[3434.8, 3644.2, 4183.4, 4896.2, 4876.4, 3502.2]",N,1.8,0.8686367034912116,,,14798486.44767442,,True,46.75836360170059,2.0517521774097256,1571.692672564832,1766.0921820866838
M3:24,M3,24,N0024,yearly,1,14,6,aeon,ok,0.0009038000134751201,"[6413.9820385811845, 7245.186631077094, 7767.79346836159, 8691.17885704912, 9390.703831640025, 10440.285071555616]","[6659.25, 6907.26, 7032.42, 6788.04, 8569.5, 8602.47]",N,1.8,1.1851533889770485,,,1320251.8444274717,,True,11.916894150068075,2.3965235160199736,980.1209701837103,1182.4411471194721
M3:25,M3,25,N0025,yearly,1,14,6,aeon,ok,0.0007735000108368695,"[5124.438251606132, 5631.008099095691, 5977.047445575999, 6525.7795299172585, 6963.0903425308425, 7569.987926087539]","[5283.64, 5789.4, 5862.2, 6434.6, 6655.4, 6970.6]",N,1.8,1.1466102600097638,,,460568.31755022885,,True,3.657209412061602,0.8932042836690982,238.4498155683024,296.0506899787255
M3:26,M3,26,N0026,yearly,1,14,6,aeon,ok,0.0007713999948464334,"[8771.40697705187, 9826.127413761493, 10257.160286424782, 11340.433023795165, 11964.55885697225, 13113.44173024142]","[8839.0, 8757.0, 7748.0, 7596.0, 7232.0, 8216.0]",N,1.8,1.1453369140624985,,,4736774.464530516,,True,29.153543719451438,5.004016218626241,2836.7190556905393,3362.6952258588462
M3:27,M3,27,N0027,yearly,1,14,6,aeon,ok,0.0007704999879933894,"[3053.359399363107, 3815.621149683768, 4051.0359772062693, 4730.09609108572, 5220.753119653078, 5955.857991650067]","[3676.83, 4721.37, 5243.28, 6276.36, 7026.27, 8885.16]",N,1.536677601579576,1.211080174706875,,,1313497.030636334,,True,27.07674252534754,6.860361463859865,1500.4243785596652,1676.4136282029058
M3:28,M3,28,N0028,yearly,1,14,6,aeon,ok,0.0007726000039838254,"[12348.793467607427, 15511.504707956141, 17204.18017005223, 21001.08397158606, 23805.794921149227, 28570.542819163576]","[12523.5, 12166.0, 12881.5, 13480.5, 7086.5, 7598.0]",N,1.7327497856938856,1.3247403445682713,,,1871936.5465748203,,True,53.691678681323104,11.245752112289038,8842.552187049967,11589.147554297464
M3:29,M3,29,N0029,yearly,1,14,6,aeon,ok,0.0007536999764852226,"[4502.394145157085, 4465.510464576163, 4523.597059376363, 4505.473308946103, 4548.686548436736, 4542.715152652962]","[4227.0, 4481.0, 4395.0, 4602.0, 4829.0, 4841.0]",N,1.8,1.0063476562499984,,,16384441.261342864,,True,3.9991966291195724,0.2593087654603379,182.43428832024725,211.92999942774586
M3:30,M3,30,N0030,yearly,1,14,6,aeon,ok,0.0007656000088900328,"[5686.116380711665, 6013.443233769721, 6256.954367501676, 6596.610345828595, 6880.993315153912, 7239.782753069825]","[6747.02, 6775.18, 7079.44, 7873.68, 8304.85, 8966.21]",N,1.8,1.0888783454895004,,,963060.7055901411,,True,16.50371637291312,3.846359971533273,1178.7466006607676,1226.1775160800528
